,P,star_name,radius,mass
114,145,CFBDS J150411+102717,71.0,0.042001872
115,146,2MASSW J1506544+132106 [de],46.0,0.065866572
116,147,2MASS 1507−1627,23.9,0.05727528
117,148,TVLM 868-110639,53.0,0.075412452
118,150,2MASSW J1515008+484742 [de],34.0,0.054411516
119,151,2MASSI J1526140+204341 [de],67.0,0.051547752
120,152,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044
121,153,2MASS J15462718-3325111 [de],37.0,0.042001872
122,154,2MASSW J1552591+294849 [de],68.0,0.02863764
123,155,2MASSW J1555157-095605 [de],44.0,0.067775748
124,156,2MASS J16150413+1340079 [de],48.0,0.040092696
125,157,SDSSp J162414.37+002915.6 [de],36.0,0.041047284
126,158,2MASS J16262034+3925190 [de],110.0,0.067775748
127,159,2MASSW J1632291+190441 [de],50.0,0.046774812
128,160,WISEPA J164715.59+563208.2,28.0,0.039138108
129,161,LSPM J1658+7027 [de],60.0,0.069684924
130,162,2MASSI J1726000+153819,114.0,0.022910112
131,164,SDSSp J175032.96+175903.9,90.0,0.044865636
132,165,2MASS J18283572-4849046,39.0,0.04295646
133,166,LSR J1835+3259,18.5,0.073503276
134,167,2MASSW J1841086+311727,138.0,0.063957396
135,168,2MASS J18432213+4040209,46.0,0.091640448
136,169,2MASS J20004841-7523070,105.0,0.0238647
137,170,SDSS J204749.61-071818.3,65.0,0.043911048
138,171,2MASSI J2057540-025230,47.0,0.06682116
139,173,2MASSI J2104149-103736,62.0,0.065866572
140,174,PSO J318.5−22,80.0,0.006204822
141,175,HB 2124-4228,113.0,0.089731272
142,176,2MASS J21392676+0220226,32.1,0.043911048
143,177,2MASS J21481628+4003593,26.3,0.05250234
144,179,2MASSW J2206450-421721,93.0,0.021000936
145,180,2MASSW J2208136+292121,154.0,0.025773876
146,181,2MASSW J2224438-015852,38.0,0.058229868
147,182,2MASS J22282889-4310262,35.0,0.040092696
148,183,2MASS J22373255+3922398,64.0,0.069684924
149,184,2MASSW J2244316+204343,56.0,0.011455056
150,185,2MASS J23224684-3133231,56.0,0.022910112
151,186,2MASS J23225299-6151275,148.0,0.016227996
152,187,2MASS J23515044-2537367,67.0,0.084003744
153,188,2MASSI J2356547-155310,74.0,0.07636704
154,226,WISE 0410+1502,20.0,0.005727528
155,230,WISE 0458+6434A,35.9,0.01431882
156,231,WISE 0458+6434B,35.9,0.00954588
157,285,WISE 1405+5534,25.3,0.02863764
